id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1194740498675773440,1194740498675773440,1573683306000,2019-11-13,23:15:06,CET,372937945,leonemaschio,Florio Savino 🦁,,@perlarara7 Ogogliosa,['perlarara7'],[],[],0,0,1,[],[],https://twitter.com/leonemaschio/status/1194740498675773440,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '372937945', 'username': 'leonemaschio'}, {'user_id': '495140633', 'username': 'perlarara7'}]",,,,
1194739364804382721,1194739364804382721,1573683036000,2019-11-13,23:10:36,CET,372937945,leonemaschio,Florio Savino 🦁,,Li piace https://twitter.com/monica603277441/status/1194686263011561474 …,[],['https://twitter.com/monica603277441/status/1194686263011561474'],[],0,1,1,[],[],https://twitter.com/leonemaschio/status/1194739364804382721,False,https://twitter.com/monica603277441/status/1194686263011561474,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '372937945', 'username': 'leonemaschio'}]",,,,
1194738828734554117,1194728432590032897,1573682908000,2019-11-13,23:08:28,CET,898841041134112769,nicla751,Nicla75,,😂😂😂,[],[],[],0,0,3,[],[],https://twitter.com/Nicla751/status/1194738828734554117,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '898841041134112769', 'username': 'Nicla751'}]",,,,
1194738439352135680,1194716582305566720,1573682815000,2019-11-13,23:06:55,CET,710758188,alinopipo,Giuseppe Galetta,,Benissimo da domani abbiamo un’altro stipendiato in più.,['valy_s'],[],[],0,0,1,[],[],https://twitter.com/AlinoPipo/status/1194738439352135680,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '710758188', 'username': 'AlinoPipo'}, {'user_id': '475234937', 'username': 'valy_s'}]",,,,
1194738211760852993,1194738211760852993,1573682761000,2019-11-13,23:06:01,CET,372937945,leonemaschio,Florio Savino 🦁,,Loro sono 🤡 dentro https://twitter.com/mariamarilucen/status/1194721577293746176 …,[],['https://twitter.com/mariamarilucen/status/1194721577293746176'],[],0,1,2,[],[],https://twitter.com/leonemaschio/status/1194738211760852993,False,https://twitter.com/mariamarilucen/status/1194721577293746176,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '372937945', 'username': 'leonemaschio'}]",,,,
1194738005640204288,1194727452637122563,1573682712000,2019-11-13,23:05:12,CET,2970007337,rfantazzini,Raffaele Fantazzini,,😭,['bookivora'],[],[],1,0,1,[],[],https://twitter.com/RFantazzini/status/1194738005640204288,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '2970007337', 'username': 'RFantazzini'}, {'user_id': '819563304112836609', 'username': 'bookivora'}]",,,,
1194737908135202816,1194737908135202816,1573682689000,2019-11-13,23:04:49,CET,61318780,carmenmarinelli,carmen,,#fivefeetapart e anche qui è scesa la lacrimuccia e io così 😍sempre e comunque per  Cole Sprouse,[],[],[],0,0,0,['#fivefeetapart'],[],https://twitter.com/carmenmarinelli/status/1194737908135202816,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '61318780', 'username': 'carmenmarinelli'}]",,,,
1194737096004718592,1194362229979799552,1573682495000,2019-11-13,23:01:35,CET,1092319371391840257,rosamar10850325,Rosa Maria Martin Lopez,,"Qué gusto oírle, España les va a necesitar.","['vox_es', 'santi_abascal']",[],[],0,0,0,[],[],https://twitter.com/RosaMar10850325/status/1194737096004718592,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '1092319371391840257', 'username': 'RosaMar10850325'}, {'user_id': '2201623465', 'username': 'vox_es'}, {'user_id': '260788584', 'username': 'Santi_ABASCAL'}]",,,,
1194732553636392961,1194696423717134337,1573681412000,2019-11-13,22:43:32,CET,898841041134112769,nicla751,Nicla75,,Entrambe,['66anavi'],[],[],0,0,0,[],[],https://twitter.com/Nicla751/status/1194732553636392961,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '898841041134112769', 'username': 'Nicla751'}, {'user_id': '1274799918', 'username': '66anavI'}]",,,,
1194726251640033280,1194726251640033280,1573679909000,2019-11-13,22:18:29,CET,821420941481799685,vianellogio,Giovanni Vianello,,"LA PUGLIA VERSO LE REGIONALI 2020 CON @AntoLari1986 E #BarbaraLezzi COME REFERENTI DELLA CAMPAGNA ELETTORALE PER IL @Mov5Stelle! 

LEGGI QUI via @Puglia_M5S
👉🏻  https://bit.ly/2Kkk0v9 

POST FB
👉🏻  https://www.facebook.com/566233327044582/posts/984002455267665?d=n&sfns=mo … pic.twitter.com/oGsRR0vWOe","['antolari1986', 'mov5stelle', 'puglia_m5s']","['https://bit.ly/2Kkk0v9', 'https://www.facebook.com/566233327044582/posts/984002455267665?d=n&sfns=mo']",['https://pbs.twimg.com/media/EJSFLq5XUAElnHv.jpg'],3,24,46,['#barbaralezzi'],[],https://twitter.com/VianelloGio/status/1194726251640033280,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '821420941481799685', 'username': 'VianelloGio'}, {'user_id': '1398174300', 'username': 'AntoLari1986'}, {'user_id': '289400495', 'username': 'Mov5Stelle'}, {'user_id': '3412818976', 'username': 'Puglia_M5S'}]",,,,
1194725622817406976,1194725622817406976,1573679760000,2019-11-13,22:16:00,CET,1008778308,realpeppons,Giuseppe Greco,,#Tsitsipas SPIRITATO! Fai bene all’anima Stefanos! Solo #Delpo mi ha fatto gasare così! #ATPFinals #ATP #ATPTour,[],[],[],0,0,1,"['#tsitsipas', '#delpo', '#atpfinals', '#atp', '#atptour']",[],https://twitter.com/realpeppons/status/1194725622817406976,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '1008778308', 'username': 'realpeppons'}]",,,,
1194722300215644160,1194716235013017600,1573678967000,2019-11-13,22:02:47,CET,2892254642,guagnano_paolo,Paolo Guagnano,,👍❤,['ampomata'],[],[],0,0,1,[],[],https://twitter.com/guagnano_paolo/status/1194722300215644160,False,,0,,"40.6646012,16.5650235,50km",,,,,"[{'user_id': '2892254642', 'username': 'guagnano_paolo'}, {'user_id': '952599899782164480', 'username': 'ampomata'}]",,,,
